1;1.7976931348623157E308;[];####0.0
29;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

30;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

31;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

32;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

33;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

34;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

35;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

36;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

37;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

38;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

39;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

40;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

41;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

42;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

43;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

44;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

45;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

46;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

47;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

48;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

49;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

50;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

51;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

52;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

53;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

54;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

55;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

56;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

57;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

